Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
GDP (current US$),NY.GDP.MKTP.CD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,512000000,524000000,509000000,500000000,493000000,518000000,560000000,675000000,573000000,570000000,640000000,638000000,643000000,673000000,671000000,612000000,639000000,647000000,721000000,750000000,871000000,..
GDP (current US$),NY.GDP.MKTP.CD,Australia,AUS,18606562977,19682883149,19922563188,21539843446,23801123808,25976164156,27307844369,30442724871,32714085234,36683365869,41333606613,45216647235,52040887850,63830877643,88963890936,97303017889,1.05E+11,1.10E+11,1.18E+11,1.35E+11,1.50E+11,1.77E+11,1.94E+11,1.77E+11,1.94E+11,1.81E+11,1.82E+11,1.89E+11,2.36E+11,3.00E+11,3.11E+11,3.26E+11,3.26E+11,3.12E+11,3.23E+11,3.68E+11,4.01E+11,4.36E+11,4.00E+11,3.90E+11,4.16E+11,3.80E+11,3.96E+11,4.68E+11,6.15E+11,6.96E+11,7.48E+11,8.55E+11,1.06E+12,9.29E+11,1.15E+12,1.40E+12,1.55E+12,1.58E+12,1.47E+12,1.35E+12,1.21E+12,1.33E+12,1.43E+12,1.39E+12,1.33E+12,1.56E+12,1.69E+12,1.72E+12
GDP (current US$),NY.GDP.MKTP.CD,Brunei Darussalam,BRN,..,..,..,..,..,114039500.6,132757528,139029537.2,160818235.9,161210236.4,179078929.3,197525767.8,270822782,433095526.7,1073591624,1168304306,1423037167,1732721161,1941579358,2803834158,4928806543,4366230383,4264202521,3844632167,3782553234,3523532486,2358574403,2754485672,2690684125,2985532273,3520487627,3701774189,4183632940,4105729021,4087220219,4734103536,5115454090,5197311972,4051142386,4600116699,6001282104,5601018684,5843368268,6557397070,7872202803,9531420028,11470464771,12247677994,14393434225,10732595016,13707280260,18525128526,19048443341,18094321617,17097802753,12930291488,11400466356,12128183904,13566937674,13469235365,12005799654,14006496617,16681536467,15128292954
GDP (current US$),NY.GDP.MKTP.CD,Cambodia,KHM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,749129748.2,790357254.5,716261764.5,766642356.1,723738502.7,744384129.7,815153652.4,865516039.8,939291262.1,1021176059,1102669184,1167630318,1036974910,1662877859,1353137648,1402541177,2054974089,2491486594,2533727592,2791435272,3441205693,3506695720,3443413389,3120425503,3517242477,3654031716,3984000517,4284028483,4658246918,5337833248,6293046162,7274595707,8639235913,10351914177,10401851768,11242275288,12829541141,14054443213,15227991395,16702610842,18049954289,20016747858,22177200588,24571753583,27089390033,25872797892,26961061152,29504829319,31772759999
GDP (current US$),NY.GDP.MKTP.CD,China,CHN,59716249311,50056685957,47209186415,50706614526,59708125204,70436008642,76720005492,72881364882,70846276051,79705614855,92602634892,99800593791,1.14E+11,1.39E+11,1.44E+11,1.63E+11,1.54E+11,1.75E+11,1.50E+11,1.78E+11,1.91E+11,1.96E+11,2.05E+11,2.31E+11,2.60E+11,3.09E+11,3.01E+11,2.73E+11,3.12E+11,3.48E+11,3.61E+11,3.83E+11,4.27E+11,4.45E+11,5.64E+11,7.34E+11,8.64E+11,9.62E+11,1.03E+12,1.09E+12,1.21E+12,1.34E+12,1.47E+12,1.66E+12,1.96E+12,2.29E+12,2.75E+12,3.55E+12,4.59E+12,5.10E+12,6.09E+12,7.55E+12,8.53E+12,9.57E+12,1.05E+13,1.11E+13,1.12E+13,1.23E+13,1.39E+13,1.43E+13,1.47E+13,1.78E+13,1.79E+13,1.78E+13
GDP (current US$),NY.GDP.MKTP.CD,Fiji,FJI,112328422.1,116987784.9,122906435,129454728.6,140032741.5,147084750,150603925.5,162625885.9,166952937.1,182182067.7,219878482.2,247749327.7,316656648.7,425950487.5,558587097.4,684282434.4,694540806.4,719501765.8,829267889.4,1019691460,1202618816,1235626771,1194059943,1123085190,1178000678,1141168944,1290267340,1177947965,1110009523,1182660266,1337017559,1383883250,1532411039,1636101247,1825732093,1970301486,2128696644,2090221137,1653146717,1936459986,1678219508,1652462023,1833279985,2300492465,2708078477,2980403845,3076305453,3378314600,3523185920,2870624636,3140166713,3779411899,3972028104,4189967999,4857104769,4682479894,4930213644,5353469174,5581425327,5444407198,4432466220,4305031650,4979979531,5494797541
GDP (current US$),NY.GDP.MKTP.CD,French Polynesia,PYF,..,..,..,..,..,176534588.4,215659453.6,220984367.6,259590074.5,242943783.1,254036000.8,296865513.7,326433558.1,431252938.1,555340842.9,690323388.5,732288906.3,793196378.7,1005569835,1215032464,1320416025,1234743073,1235897958,1284180701,1325515445,1448281228,2212028300,2677977163,2723496362,2731683484,3320159522,3410078968,3713785765,3544608548,3676123788,4186994249,4166072830,3762859093,3903186593,3911602004,3599845480,3573808556,3965405553,4927780607,5564109982,5705052135,5877997980,6631156406,7136741422,6584557974,6086644799,6203940037,5692858099,6031827123,6151996561,5325846362,5497036477,5833352693,6135116253,6022276196,5792545871,6150640646,5814661209,..
GDP (current US$),NY.GDP.MKTP.CD,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3394000000,3569000000,3869000000,4213000000,4238000000,4397000000,4658000000,4828000000,4949000000,4984000000,5265000000,5399000000,5610000000,5799000000,5901000000,6013000000,6051000000,6355000000,5916000000,6234000000,6910000000,..
GDP (current US$),NY.GDP.MKTP.CD,"Hong Kong SAR, China",HKG,1320796652,1383681651,1612346412,1935298266,2206466461,2435078534,2489845017,2692474989,2716964388,3189740055,3800766536,4476001946,5710090213,8030117556,9388695367,10048089558,12876366009,15719433719,18315136409,22526184533,28861857811,31055226089,32291215844,29907227184,33511383986,35699772166,41075396885,50622896163,59707404561,68790219178,76928784621,88959997900,1.04E+11,1.20E+11,1.36E+11,1.45E+11,1.60E+11,1.77E+11,1.69E+11,1.66E+11,1.72E+11,1.69E+11,1.66E+11,1.61E+11,1.69E+11,1.82E+11,1.94E+11,2.12E+11,2.19E+11,2.14E+11,2.29E+11,2.49E+11,2.63E+11,2.76E+11,2.91E+11,3.09E+11,3.21E+11,3.41E+11,3.62E+11,3.63E+11,3.45E+11,3.69E+11,3.59E+11,3.82E+11
GDP (current US$),NY.GDP.MKTP.CD,Indonesia,IDN,..,..,..,..,..,..,..,5667756628,7076465300,8337423313,9150684932,9333536370,10997590361,16273253012,25802409639,30463855422,37269156627,45808915663,51455719076,51400186343,72482337397,85518233419,90158449295,81052283384,84853700028,85289488375,79954072545,75929617558,84300174486,94451427877,1.06E+11,1.17E+11,1.28E+11,1.58E+11,1.77E+11,2.02E+11,2.27E+11,2.16E+11,95445547873,1.40E+11,1.65E+11,1.60E+11,1.96E+11,2.35E+11,2.57E+11,2.86E+11,3.65E+11,4.32E+11,5.10E+11,5.40E+11,7.55E+11,8.93E+11,9.18E+11,9.13E+11,8.91E+11,8.61E+11,9.32E+11,1.02E+12,1.04E+12,1.12E+12,1.06E+12,1.19E+12,1.32E+12,1.37E+12
